Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=A41F814374A17B893E6A6E7E57B7A722?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=04-01-2009&end=07-12-2021&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US,EA and BG,CZ,HU,PL,RO,CN,HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2020-03-14,-,Missing value; data cannot exist (M)
2020-03-13,98.5480,Normal value (A)
2020-03-12,99.0422,Normal value (A)
2020-03-11,98.8272,Normal value (A)
2020-03-10,99.0435,Normal value (A)
2020-03-09,99.1480,Normal value (A)
2020-03-08,-,Missing value; data cannot exist (M)
2020-03-07,-,Missing value; data cannot exist (M)
2020-03-06,98.4610,Normal value (A)
2020-03-05,97.8063,Normal value (A)
2020-03-04,97.4742,Normal value (A)
2020-03-03,97.7358,Normal value (A)
2020-03-02,97.7990,Normal value (A)
2020-03-01,-,Missing value; data cannot exist (M)
2020-02-29,-,Missing value; data cannot exist (M)
2020-02-28,96.9507,Normal value (A)
2020-02-27,96.8525,Normal value (A)
2020-02-26,96.3505,Normal value (A)
2020-02-25,96.0285,Normal value (A)
2020-02-24,96.0467,Normal value (A)
2020-02-23,-,Missing value; data cannot exist (M)
2020-02-22,-,Missing value; data cannot exist (M)
2020-02-21,95.8502,Normal value (A)
2020-02-20,95.8268,Normal value (A)
2020-02-19,95.4901,Normal value (A)
2020-02-18,95.5150,Normal value (A)
2020-02-17,95.5316,Normal value (A)
2020-02-16,-,Missing value; data cannot exist (M)
2020-02-15,-,Missing value; data cannot exist (M)
2020-02-14,95.5625,Normal value (A)
2020-02-13,95.6855,Normal value (A)
2020-02-12,96.0329,Normal value (A)
2020-02-11,96.0872,Normal value (A)
2020-02-10,96.4598,Normal value (A)
2020-02-09,-,Missing value; data cannot exist (M)
2020-02-08,-,Missing value; data cannot exist (M)
2020-02-07,96.6102,Normal value (A)
2020-02-06,96.6167,Normal value (A)
2020-02-05,96.6611,Normal value (A)
2020-02-04,96.9752,Normal value (A)
2020-02-03,97.1359,Normal value (A)
2020-02-02,-,Missing value; data cannot exist (M)
2020-02-01,-,Missing value; data cannot exist (M)
2020-01-31,96.7972,Normal value (A)
2020-01-30,96.6514,Normal value (A)
2020-01-29,96.5280,Normal value (A)
2020-01-28,96.5248,Normal value (A)
2020-01-27,96.5459,Normal value (A)
2020-01-26,-,Missing value; data cannot exist (M)
2020-01-25,-,Missing value; data cannot exist (M)
2020-01-24,96.4934,Normal value (A)
2020-01-23,96.7892,Normal value (A)
2020-01-22,96.6728,Normal value (A)
2020-01-21,96.8942,Normal value (A)
2020-01-20,96.7038,Normal value (A)
2020-01-19,-,Missing value; data cannot exist (M)
2020-01-18,-,Missing value; data cannot exist (M)
2020-01-17,96.7342,Normal value (A)
2020-01-16,97.1029,Normal value (A)
2020-01-15,97.0272,Normal value (A)
2020-01-14,96.8866,Normal value (A)
2020-01-13,97.0560,Normal value (A)
2020-01-12,-,Missing value; data cannot exist (M)
2020-01-11,-,Missing value; data cannot exist (M)
2020-01-10,96.8276,Normal value (A)
2020-01-09,96.9777,Normal value (A)
2020-01-08,96.9155,Normal value (A)
2020-01-07,97.2617,Normal value (A)
2020-01-06,97.3995,Normal value (A)
2020-01-05,-,Missing value; data cannot exist (M)
2020-01-04,-,Missing value; data cannot exist (M)
2020-01-03,97.1679,Normal value (A)
2020-01-02,97.3438,Normal value (A)
2020-01-01,-,Missing value; data cannot exist (M)
2019-12-31,97.5271,Normal value (A)
2019-12-30,97.4807,Normal value (A)
2019-12-29,-,Missing value; data cannot exist (M)
2019-12-28,-,Missing value; data cannot exist (M)
2019-12-27,97.3967,Normal value (A)
2019-12-26,-,Missing value; data cannot exist (M)
2019-12-25,-,Missing value; data cannot exist (M)
2019-12-24,97.1735,Normal value (A)
2019-12-23,97.1848,Normal value (A)
2019-12-22,-,Missing value; data cannot exist (M)
2019-12-21,-,Missing value; data cannot exist (M)
2019-12-20,97.1527,Normal value (A)
2019-12-19,97.3091,Normal value (A)
2019-12-18,97.3033,Normal value (A)
2019-12-17,97.4561,Normal value (A)
2019-12-16,97.1494,Normal value (A)
2019-12-15,-,Missing value; data cannot exist (M)
2019-12-14,-,Missing value; data cannot exist (M)
2019-12-13,97.2771,Normal value (A)
2019-12-12,97.4720,Normal value (A)
2019-12-11,97.1833,Normal value (A)
2019-12-10,97.2089,Normal value (A)
2019-12-09,97.2243,Normal value (A)
2019-12-08,-,Missing value; data cannot exist (M)
2019-12-07,-,Missing value; data cannot exist (M)
2019-12-06,97.2922,Normal value (A)
2019-12-05,97.3577,Normal value (A)
2019-12-04,97.3665,Normal value (A)
2019-12-03,97.4605,Normal value (A)
2019-12-02,97.2836,Normal value (A)
2019-12-01,-,Missing value; data cannot exist (M)
2019-11-30,-,Missing value; data cannot exist (M)
2019-11-29,97.0686,Normal value (A)
2019-11-28,97.2209,Normal value (A)
2019-11-27,97.2108,Normal value (A)
2019-11-26,97.3330,Normal value (A)
2019-11-25,97.2156,Normal value (A)
2019-11-24,-,Missing value; data cannot exist (M)
2019-11-23,-,Missing value; data cannot exist (M)
2019-11-22,97.5246,Normal value (A)
2019-11-21,97.5776,Normal value (A)
2019-11-20,97.4591,Normal value (A)
2019-11-19,97.4710,Normal value (A)
2019-11-18,97.3518,Normal value (A)
2019-11-17,-,Missing value; data cannot exist (M)
2019-11-16,-,Missing value; data cannot exist (M)
2019-11-15,97.1928,Normal value (A)
2019-11-14,97.0695,Normal value (A)
2019-11-13,97.1672,Normal value (A)
2019-11-12,97.1596,Normal value (A)
2019-11-11,97.2801,Normal value (A)
2019-11-10,-,Missing value; data cannot exist (M)
2019-11-09,-,Missing value; data cannot exist (M)
2019-11-08,97.2323,Normal value (A)
2019-11-07,97.4007,Normal value (A)
2019-11-06,97.4604,Normal value (A)
2019-11-05,97.5487,Normal value (A)
2019-11-04,97.8841,Normal value (A)
2019-11-03,-,Missing value; data cannot exist (M)
2019-11-02,-,Missing value; data cannot exist (M)
2019-11-01,97.7561,Normal value (A)
2019-10-31,97.8849,Normal value (A)
2019-10-30,97.7988,Normal value (A)
2019-10-29,97.7989,Normal value (A)
2019-10-28,97.7421,Normal value (A)
2019-10-27,-,Missing value; data cannot exist (M)
2019-10-26,-,Missing value; data cannot exist (M)
2019-10-25,97.8908,Normal value (A)
2019-10-24,97.9201,Normal value (A)
2019-10-23,97.9360,Normal value (A)
2019-10-22,97.9240,Normal value (A)
2019-10-21,98.0792,Normal value (A)
2019-10-20,-,Missing value; data cannot exist (M)
2019-10-19,-,Missing value; data cannot exist (M)
2019-10-18,98.1294,Normal value (A)
2019-10-17,98.0745,Normal value (A)
2019-10-16,97.7749,Normal value (A)
2019-10-15,97.6775,Normal value (A)
2019-10-14,97.9072,Normal value (A)
2019-10-13,-,Missing value; data cannot exist (M)
2019-10-12,-,Missing value; data cannot exist (M)
2019-10-11,98.0246,Normal value (A)
2019-10-10,98.4400,Normal value (A)
2019-10-09,98.1956,Normal value (A)
2019-10-08,98.2082,Normal value (A)
2019-10-07,98.1513,Normal value (A)
2019-10-06,-,Missing value; data cannot exist (M)
2019-10-05,-,Missing value; data cannot exist (M)
2019-10-04,97.9925,Normal value (A)
2019-10-03,97.9215,Normal value (A)
2019-10-02,97.8911,Normal value (A)
2019-10-01,97.7747,Normal value (A)
2019-09-30,97.5474,Normal value (A)
2019-09-29,-,Missing value; data cannot exist (M)
2019-09-28,-,Missing value; data cannot exist (M)
2019-09-27,97.7994,Normal value (A)
2019-09-26,97.7360,Normal value (A)
2019-09-25,97.9497,Normal value (A)
2019-09-24,97.9163,Normal value (A)
2019-09-23,97.9486,Normal value (A)
2019-09-22,-,Missing value; data cannot exist (M)
2019-09-21,-,Missing value; data cannot exist (M)
2019-09-20,98.0268,Normal value (A)
2019-09-19,98.2900,Normal value (A)
2019-09-18,98.2078,Normal value (A)
2019-09-17,98.1017,Normal value (A)
2019-09-16,97.8892,Normal value (A)
2019-09-15,-,Missing value; data cannot exist (M)
2019-09-14,-,Missing value; data cannot exist (M)
2019-09-13,98.2993,Normal value (A)
2019-09-12,97.6244,Normal value (A)
2019-09-11,98.0052,Normal value (A)
2019-09-10,98.2001,Normal value (A)
2019-09-09,98.1244,Normal value (A)
2019-09-08,-,Missing value; data cannot exist (M)
2019-09-07,-,Missing value; data cannot exist (M)
2019-09-06,98.1561,Normal value (A)
2019-09-05,98.3359,Normal value (A)
2019-09-04,98.3175,Normal value (A)
2019-09-03,98.2234,Normal value (A)
2019-09-02,98.3554,Normal value (A)
2019-09-01,-,Missing value; data cannot exist (M)
2019-08-31,-,Missing value; data cannot exist (M)
2019-08-30,98.6321,Normal value (A)
2019-08-29,98.7199,Normal value (A)
2019-08-28,98.8439,Normal value (A)
2019-08-27,98.8115,Normal value (A)
2019-08-26,98.9097,Normal value (A)
2019-08-25,-,Missing value; data cannot exist (M)
2019-08-24,-,Missing value; data cannot exist (M)
2019-08-23,98.4695,Normal value (A)
2019-08-22,98.6635,Normal value (A)
2019-08-21,98.6992,Normal value (A)
2019-08-20,98.6094,Normal value (A)
2019-08-19,98.7256,Normal value (A)
2019-08-18,-,Missing value; data cannot exist (M)
2019-08-17,-,Missing value; data cannot exist (M)
2019-08-16,98.3859,Normal value (A)
2019-08-15,98.9938,Normal value (A)
2019-08-14,99.2168,Normal value (A)
2019-08-13,99.4207,Normal value (A)
2019-08-12,99.2321,Normal value (A)
2019-08-11,-,Missing value; data cannot exist (M)
2019-08-10,-,Missing value; data cannot exist (M)
2019-08-09,99.2625,Normal value (A)
2019-08-08,99.1594,Normal value (A)
2019-08-07,99.2452,Normal value (A)
2019-08-06,98.9884,Normal value (A)
2019-08-05,99.0412,Normal value (A)
2019-08-04,-,Missing value; data cannot exist (M)
2019-08-03,-,Missing value; data cannot exist (M)
2019-08-02,98.3446,Normal value (A)
2019-08-01,97.9317,Normal value (A)
2019-07-31,98.4243,Normal value (A)
2019-07-30,98.4331,Normal value (A)
2019-07-29,98.0607,Normal value (A)
2019-07-28,-,Missing value; data cannot exist (M)
2019-07-27,-,Missing value; data cannot exist (M)
2019-07-26,97.9324,Normal value (A)
2019-07-25,97.5291,Normal value (A)
2019-07-24,97.6973,Normal value (A)
2019-07-23,97.9873,Normal value (A)
2019-07-22,98.1672,Normal value (A)
2019-07-21,-,Missing value; data cannot exist (M)
2019-07-20,-,Missing value; data cannot exist (M)
2019-07-19,98.1651,Normal value (A)
2019-07-18,98.2179,Normal value (A)
2019-07-17,98.3565,Normal value (A)
2019-07-16,98.3135,Normal value (A)
2019-07-15,98.4717,Normal value (A)
2019-07-14,-,Missing value; data cannot exist (M)
2019-07-13,-,Missing value; data cannot exist (M)
2019-07-12,98.4442,Normal value (A)
2019-07-11,98.5577,Normal value (A)
2019-07-10,98.4391,Normal value (A)
2019-07-09,98.3676,Normal value (A)
2019-07-08,98.2519,Normal value (A)
2019-07-07,-,Missing value; data cannot exist (M)
2019-07-06,-,Missing value; data cannot exist (M)
2019-07-05,98.3616,Normal value (A)
2019-07-04,98.4232,Normal value (A)
2019-07-03,98.4854,Normal value (A)
2019-07-02,98.5377,Normal value (A)
2019-07-01,98.6861,Normal value (A)
2019-06-30,-,Missing value; data cannot exist (M)
2019-06-29,-,Missing value; data cannot exist (M)
2019-06-28,98.8369,Normal value (A)
2019-06-27,98.7858,Normal value (A)
2019-06-26,98.7944,Normal value (A)
2019-06-25,98.8742,Normal value (A)
2019-06-24,98.9250,Normal value (A)
2019-06-23,-,Missing value; data cannot exist (M)
2019-06-22,-,Missing value; data cannot exist (M)
2019-06-21,98.6253,Normal value (A)
2019-06-20,98.5021,Normal value (A)
2019-06-19,98.3540,Normal value (A)
2019-06-18,98.3633,Normal value (A)
2019-06-17,98.5861,Normal value (A)
2019-06-16,-,Missing value; data cannot exist (M)
2019-06-15,-,Missing value; data cannot exist (M)
2019-06-14,98.6276,Normal value (A)
2019-06-13,98.7480,Normal value (A)
2019-06-12,98.8850,Normal value (A)
2019-06-11,98.9080,Normal value (A)
2019-06-10,98.8722,Normal value (A)
2019-06-09,-,Missing value; data cannot exist (M)
2019-06-08,-,Missing value; data cannot exist (M)
2019-06-07,98.6119,Normal value (A)
2019-06-06,98.5272,Normal value (A)
2019-06-05,98.4763,Normal value (A)
2019-06-04,98.5042,Normal value (A)
2019-06-03,98.2457,Normal value (A)
2019-06-02,-,Missing value; data cannot exist (M)
2019-06-01,-,Missing value; data cannot exist (M)
2019-05-31,98.2240,Normal value (A)
2019-05-30,98.1110,Normal value (A)
2019-05-29,98.2811,Normal value (A)
2019-05-28,98.4547,Normal value (A)
2019-05-27,98.4189,Normal value (A)
2019-05-26,-,Missing value; data cannot exist (M)
2019-05-25,-,Missing value; data cannot exist (M)
2019-05-24,98.3891,Normal value (A)
2019-05-23,98.2487,Normal value (A)
2019-05-22,98.3973,Normal value (A)
2019-05-21,98.2874,Normal value (A)
2019-05-20,98.2774,Normal value (A)
2019-05-19,-,Missing value; data cannot exist (M)
2019-05-18,-,Missing value; data cannot exist (M)
2019-05-17,98.3169,Normal value (A)
2019-05-16,98.2875,Normal value (A)
2019-05-15,98.1100,Normal value (A)
2019-05-14,98.3034,Normal value (A)
2019-05-13,98.3303,Normal value (A)
2019-05-12,-,Missing value; data cannot exist (M)
2019-05-11,-,Missing value; data cannot exist (M)
2019-05-10,98.1022,Normal value (A)
2019-05-09,97.9187,Normal value (A)
2019-05-08,97.8224,Normal value (A)
2019-05-07,97.6376,Normal value (A)
2019-05-06,97.6625,Normal value (A)
2019-05-05,-,Missing value; data cannot exist (M)
2019-05-04,-,Missing value; data cannot exist (M)
2019-05-03,97.4399,Normal value (A)
2019-05-02,97.6966,Normal value (A)
2019-05-01,-,Missing value; data cannot exist (M)
2019-04-30,97.7609,Normal value (A)
2019-04-29,97.4405,Normal value (A)
2019-04-28,-,Missing value; data cannot exist (M)
2019-04-27,-,Missing value; data cannot exist (M)
2019-04-26,97.3493,Normal value (A)
2019-04-25,97.4046,Normal value (A)
2019-04-24,97.6422,Normal value (A)
2019-04-23,97.7845,Normal value (A)
2019-04-22,-,Missing value; data cannot exist (M)
2019-04-21,-,Missing value; data cannot exist (M)
2019-04-20,-,Missing value; data cannot exist (M)
2019-04-19,-,Missing value; data cannot exist (M)
2019-04-18,97.6642,Normal value (A)
2019-04-17,97.8298,Normal value (A)
2019-04-16,97.8727,Normal value (A)
2019-04-15,97.8506,Normal value (A)
2019-04-14,-,Missing value; data cannot exist (M)
2019-04-13,-,Missing value; data cannot exist (M)
2019-04-12,97.9093,Normal value (A)
2019-04-11,97.6270,Normal value (A)
2019-04-10,97.6430,Normal value (A)
2019-04-09,97.6678,Normal value (A)
2019-04-08,97.5528,Normal value (A)
2019-04-07,-,Missing value; data cannot exist (M)
2019-04-06,-,Missing value; data cannot exist (M)
2019-04-05,97.4203,Normal value (A)
2019-04-04,97.2280,Normal value (A)
2019-04-03,97.3178,Normal value (A)
2019-04-02,97.2940,Normal value (A)
2019-04-01,97.3418,Normal value (A)
2019-03-31,-,Missing value; data cannot exist (M)
2019-03-30,-,Missing value; data cannot exist (M)
2019-03-29,97.3625,Normal value (A)
2019-03-28,97.3498,Normal value (A)
2019-03-27,97.4020,Normal value (A)
2019-03-26,97.4935,Normal value (A)
2019-03-25,97.7017,Normal value (A)
2019-03-24,-,Missing value; data cannot exist (M)
2019-03-23,-,Missing value; data cannot exist (M)
2019-03-22,97.6478,Normal value (A)
2019-03-21,98.0728,Normal value (A)
2019-03-20,97.9396,Normal value (A)
2019-03-19,97.8767,Normal value (A)
2019-03-18,97.9106,Normal value (A)
2019-03-17,-,Missing value; data cannot exist (M)
2019-03-16,-,Missing value; data cannot exist (M)
2019-03-15,97.7461,Normal value (A)
2019-03-14,97.7120,Normal value (A)
2019-03-13,97.8043,Normal value (A)
2019-03-12,97.7190,Normal value (A)
2019-03-11,97.6474,Normal value (A)
2019-03-10,-,Missing value; data cannot exist (M)
2019-03-09,-,Missing value; data cannot exist (M)
2019-03-08,97.5164,Normal value (A)
2019-03-07,97.6715,Normal value (A)
2019-03-06,97.8330,Normal value (A)
2019-03-05,97.9831,Normal value (A)
2019-03-04,97.9065,Normal value (A)
2019-03-03,-,Missing value; data cannot exist (M)
2019-03-02,-,Missing value; data cannot exist (M)
2019-03-01,98.1304,Normal value (A)
2019-02-28,98.1036,Normal value (A)
2019-02-27,97.9303,Normal value (A)
2019-02-26,98.0473,Normal value (A)
2019-02-25,98.1128,Normal value (A)
2019-02-24,-,Missing value; data cannot exist (M)
2019-02-23,-,Missing value; data cannot exist (M)
2019-02-22,98.1889,Normal value (A)
2019-02-21,98.2290,Normal value (A)
2019-02-20,98.1806,Normal value (A)
2019-02-19,98.1677,Normal value (A)
2019-02-18,98.3126,Normal value (A)
2019-02-17,-,Missing value; data cannot exist (M)
2019-02-16,-,Missing value; data cannot exist (M)
2019-02-15,98.0852,Normal value (A)
2019-02-14,98.2072,Normal value (A)
2019-02-13,98.2076,Normal value (A)
2019-02-12,98.2360,Normal value (A)
2019-02-11,98.3151,Normal value (A)
2019-02-10,-,Missing value; data cannot exist (M)
2019-02-09,-,Missing value; data cannot exist (M)
2019-02-08,98.2970,Normal value (A)
2019-02-07,98.3138,Normal value (A)
2019-02-06,98.5096,Normal value (A)
2019-02-05,98.5653,Normal value (A)
2019-02-04,98.6808,Normal value (A)
2019-02-03,-,Missing value; data cannot exist (M)
2019-02-02,-,Missing value; data cannot exist (M)
2019-02-01,98.6989,Normal value (A)
2019-01-31,98.5961,Normal value (A)
2019-01-30,98.4594,Normal value (A)
2019-01-29,98.3476,Normal value (A)
2019-01-28,98.3504,Normal value (A)
2019-01-27,-,Missing value; data cannot exist (M)
2019-01-26,-,Missing value; data cannot exist (M)
2019-01-25,98.0371,Normal value (A)
2019-01-24,98.1950,Normal value (A)
2019-01-23,98.3132,Normal value (A)
2019-01-22,98.4036,Normal value (A)
2019-01-21,98.4733,Normal value (A)
2019-01-20,-,Missing value; data cannot exist (M)
2019-01-19,-,Missing value; data cannot exist (M)
2019-01-18,98.5116,Normal value (A)
2019-01-17,98.4665,Normal value (A)
2019-01-16,98.4367,Normal value (A)
2019-01-15,98.6676,Normal value (A)
2019-01-14,98.8836,Normal value (A)
2019-01-13,-,Missing value; data cannot exist (M)
2019-01-12,-,Missing value; data cannot exist (M)
2019-01-11,99.3108,Normal value (A)
2019-01-10,99.4070,Normal value (A)
2019-01-09,99.1171,Normal value (A)
2019-01-08,99.1142,Normal value (A)
2019-01-07,99.0569,Normal value (A)
2019-01-06,-,Missing value; data cannot exist (M)
2019-01-05,-,Missing value; data cannot exist (M)
2019-01-04,99.0326,Normal value (A)
2019-01-03,98.9044,Normal value (A)
2019-01-02,99.1051,Normal value (A)
2019-01-01,-,Missing value; data cannot exist (M)
2018-12-31,99.3164,Normal value (A)
2018-12-30,-,Missing value; data cannot exist (M)
2018-12-29,-,Missing value; data cannot exist (M)
2018-12-28,99.4990,Normal value (A)
2018-12-27,99.1625,Normal value (A)
2018-12-26,-,Missing value; data cannot exist (M)
2018-12-25,-,Missing value; data cannot exist (M)
2018-12-24,99.4284,Normal value (A)
2018-12-23,-,Missing value; data cannot exist (M)
2018-12-22,-,Missing value; data cannot exist (M)
2018-12-21,99.4557,Normal value (A)
2018-12-20,99.5895,Normal value (A)
2018-12-19,99.4765,Normal value (A)
2018-12-18,99.1730,Normal value (A)
